trim_pot: 15 ,pot_adjust: 5 ,last_read: 10 ,Percentage:1% ,trim_pot_changed True
trim_pot: 36 ,pot_adjust: 21 ,last_read: 15 ,Percentage:4% ,trim_pot_changed True
trim_pot: 220 ,pot_adjust: 184 ,last_read: 36 ,Percentage:21% ,trim_pot_changed True
trim_pot: 317 ,pot_adjust: 97 ,last_read: 220 ,Percentage:31% ,trim_pot_changed True
trim_pot: 315 ,pot_adjust: 2 ,last_read: 317 ,Percentage:31% ,trim_pot_changed True
trim_pot: 315 ,pot_adjust: 0 ,last_read: 315 ,Percentage:31% ,trim_pot_changed False
trim_pot: 323 ,pot_adjust: 8 ,last_read: 315 ,Percentage:32% ,trim_pot_changed True
trim_pot: 309 ,pot_adjust: 14 ,last_read: 323 ,Percentage:30% ,trim_pot_changed True
trim_pot: 265 ,pot_adjust: 44 ,last_read: 309 ,Percentage:26% ,trim_pot_changed True
trim_pot: 405 ,pot_adjust: 140 ,last_read: 265 ,Percentage:40% ,trim_pot_changed True
trim_pot: 379 ,pot_adjust: 26 ,last_read: 405 ,Percentage:37% ,trim_pot_changed True
trim_pot: 407 ,pot_adjust: 28 ,last_read: 379 ,Percentage:40% ,trim_pot_changed True
trim_pot: 394 ,pot_adjust: 13 ,last_read: 407 ,Percentage:38% ,trim_pot_changed True
trim_pot: 399 ,pot_adjust: 5 ,last_read: 394 ,Percentage:39% ,trim_pot_changed True
trim_pot: 383 ,pot_adjust: 16 ,last_read: 399 ,Percentage:37% ,trim_pot_changed True
trim_pot: 377 ,pot_adjust: 6 ,last_read: 383 ,Percentage:37% ,trim_pot_changed True
trim_pot: 357 ,pot_adjust: 20 ,last_read: 377 ,Percentage:35% ,trim_pot_changed True
trim_pot: 259 ,pot_adjust: 98 ,last_read: 357 ,Percentage:25% ,trim_pot_changed True
trim_pot: 330 ,pot_adjust: 71 ,last_read: 259 ,Percentage:32% ,trim_pot_changed True
trim_pot: 305 ,pot_adjust: 25 ,last_read: 330 ,Percentage:30% ,trim_pot_changed True
trim_pot: 290 ,pot_adjust: 15 ,last_read: 305 ,Percentage:28% ,trim_pot_changed True
trim_pot: 202 ,pot_adjust: 88 ,last_read: 290 ,Percentage:20% ,trim_pot_changed True
trim_pot: 71 ,pot_adjust: 131 ,last_read: 202 ,Percentage:7% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 71 ,last_read: 71 ,Percentage:0% ,trim_pot_changed True
trim_pot: 1 ,pot_adjust: 1 ,last_read: 0 ,Percentage:0% ,trim_pot_changed True
trim_pot: 7 ,pot_adjust: 6 ,last_read: 1 ,Percentage:1% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 7 ,last_read: 7 ,Percentage:0% ,trim_pot_changed True
trim_pot: 4 ,pot_adjust: 4 ,last_read: 0 ,Percentage:0% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 4 ,last_read: 4 ,Percentage:0% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 3 ,pot_adjust: 3 ,last_read: 0 ,Percentage:0% ,trim_pot_changed True
trim_pot: 9 ,pot_adjust: 6 ,last_read: 3 ,Percentage:1% ,trim_pot_changed True
trim_pot: 125 ,pot_adjust: 116 ,last_read: 9 ,Percentage:12% ,trim_pot_changed True
trim_pot: 315 ,pot_adjust: 190 ,last_read: 125 ,Percentage:31% ,trim_pot_changed True
trim_pot: 250 ,pot_adjust: 65 ,last_read: 315 ,Percentage:24% ,trim_pot_changed True
trim_pot: 308 ,pot_adjust: 58 ,last_read: 250 ,Percentage:30% ,trim_pot_changed True
trim_pot: 320 ,pot_adjust: 12 ,last_read: 308 ,Percentage:31% ,trim_pot_changed True
trim_pot: 319 ,pot_adjust: 1 ,last_read: 320 ,Percentage:31% ,trim_pot_changed True
trim_pot: 320 ,pot_adjust: 1 ,last_read: 319 ,Percentage:31% ,trim_pot_changed True
trim_pot: 332 ,pot_adjust: 12 ,last_read: 320 ,Percentage:32% ,trim_pot_changed True
trim_pot: 332 ,pot_adjust: 0 ,last_read: 332 ,Percentage:32% ,trim_pot_changed False
trim_pot: 258 ,pot_adjust: 74 ,last_read: 332 ,Percentage:25% ,trim_pot_changed True
trim_pot: 324 ,pot_adjust: 66 ,last_read: 258 ,Percentage:32% ,trim_pot_changed True
trim_pot: 331 ,pot_adjust: 7 ,last_read: 324 ,Percentage:32% ,trim_pot_changed True
trim_pot: 346 ,pot_adjust: 15 ,last_read: 331 ,Percentage:34% ,trim_pot_changed True
trim_pot: 404 ,pot_adjust: 58 ,last_read: 346 ,Percentage:39% ,trim_pot_changed True
trim_pot: 398 ,pot_adjust: 6 ,last_read: 404 ,Percentage:39% ,trim_pot_changed True
trim_pot: 402 ,pot_adjust: 4 ,last_read: 398 ,Percentage:39% ,trim_pot_changed True
trim_pot: 394 ,pot_adjust: 8 ,last_read: 402 ,Percentage:38% ,trim_pot_changed True
trim_pot: 411 ,pot_adjust: 17 ,last_read: 394 ,Percentage:40% ,trim_pot_changed True
trim_pot: 365 ,pot_adjust: 46 ,last_read: 411 ,Percentage:36% ,trim_pot_changed True
trim_pot: 385 ,pot_adjust: 20 ,last_read: 365 ,Percentage:38% ,trim_pot_changed True
trim_pot: 319 ,pot_adjust: 66 ,last_read: 385 ,Percentage:31% ,trim_pot_changed True
trim_pot: 371 ,pot_adjust: 52 ,last_read: 319 ,Percentage:36% ,trim_pot_changed True
trim_pot: 330 ,pot_adjust: 41 ,last_read: 371 ,Percentage:32% ,trim_pot_changed True
trim_pot: 314 ,pot_adjust: 16 ,last_read: 330 ,Percentage:31% ,trim_pot_changed True
trim_pot: 300 ,pot_adjust: 14 ,last_read: 314 ,Percentage:29% ,trim_pot_changed True
trim_pot: 301 ,pot_adjust: 1 ,last_read: 300 ,Percentage:29% ,trim_pot_changed True
trim_pot: 230 ,pot_adjust: 71 ,last_read: 301 ,Percentage:22% ,trim_pot_changed True
trim_pot: 136 ,pot_adjust: 94 ,last_read: 230 ,Percentage:13% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 136 ,last_read: 136 ,Percentage:0% ,trim_pot_changed True
trim_pot: 6 ,pot_adjust: 6 ,last_read: 0 ,Percentage:1% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 6 ,last_read: 6 ,Percentage:0% ,trim_pot_changed True
trim_pot: 1 ,pot_adjust: 1 ,last_read: 0 ,Percentage:0% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 1 ,last_read: 1 ,Percentage:0% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 1 ,pot_adjust: 1 ,last_read: 0 ,Percentage:0% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 1 ,last_read: 1 ,Percentage:0% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 25 ,pot_adjust: 25 ,last_read: 0 ,Percentage:2% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 25 ,last_read: 25 ,Percentage:0% ,trim_pot_changed True
trim_pot: 7 ,pot_adjust: 7 ,last_read: 0 ,Percentage:1% ,trim_pot_changed True
trim_pot: 17 ,pot_adjust: 10 ,last_read: 7 ,Percentage:2% ,trim_pot_changed True
trim_pot: 115 ,pot_adjust: 98 ,last_read: 17 ,Percentage:11% ,trim_pot_changed True
trim_pot: 317 ,pot_adjust: 202 ,last_read: 115 ,Percentage:31% ,trim_pot_changed True
trim_pot: 309 ,pot_adjust: 8 ,last_read: 317 ,Percentage:30% ,trim_pot_changed True
trim_pot: 323 ,pot_adjust: 14 ,last_read: 309 ,Percentage:32% ,trim_pot_changed True
trim_pot: 307 ,pot_adjust: 16 ,last_read: 323 ,Percentage:30% ,trim_pot_changed True
trim_pot: 328 ,pot_adjust: 21 ,last_read: 307 ,Percentage:32% ,trim_pot_changed True
trim_pot: 334 ,pot_adjust: 6 ,last_read: 328 ,Percentage:33% ,trim_pot_changed True
trim_pot: 321 ,pot_adjust: 13 ,last_read: 334 ,Percentage:31% ,trim_pot_changed True
trim_pot: 351 ,pot_adjust: 30 ,last_read: 321 ,Percentage:34% ,trim_pot_changed True
trim_pot: 330 ,pot_adjust: 21 ,last_read: 351 ,Percentage:32% ,trim_pot_changed True
trim_pot: 327 ,pot_adjust: 3 ,last_read: 330 ,Percentage:32% ,trim_pot_changed True
trim_pot: 327 ,pot_adjust: 0 ,last_read: 327 ,Percentage:32% ,trim_pot_changed False
trim_pot: 343 ,pot_adjust: 16 ,last_read: 327 ,Percentage:33% ,trim_pot_changed True
trim_pot: 439 ,pot_adjust: 96 ,last_read: 343 ,Percentage:43% ,trim_pot_changed True
