trim_pot: 0 ,pot_adjust: 309 ,last_read: 309 ,Percentage:0% ,trim_pot_changed True
trim_pot: 314 ,pot_adjust: 314 ,last_read: 0 ,Percentage:31% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 314 ,last_read: 314 ,Percentage:0% ,trim_pot_changed True
trim_pot: 312 ,pot_adjust: 312 ,last_read: 0 ,Percentage:30% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 312 ,last_read: 312 ,Percentage:0% ,trim_pot_changed True
trim_pot: 317 ,pot_adjust: 317 ,last_read: 0 ,Percentage:31% ,trim_pot_changed True
trim_pot: 9 ,pot_adjust: 308 ,last_read: 317 ,Percentage:1% ,trim_pot_changed True
trim_pot: 261 ,pot_adjust: 252 ,last_read: 9 ,Percentage:25% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 261 ,last_read: 261 ,Percentage:0% ,trim_pot_changed True
trim_pot: 375 ,pot_adjust: 375 ,last_read: 0 ,Percentage:37% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 375 ,last_read: 375 ,Percentage:0% ,trim_pot_changed True
trim_pot: 373 ,pot_adjust: 373 ,last_read: 0 ,Percentage:36% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 373 ,last_read: 373 ,Percentage:0% ,trim_pot_changed True
trim_pot: 371 ,pot_adjust: 371 ,last_read: 0 ,Percentage:36% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 371 ,last_read: 371 ,Percentage:0% ,trim_pot_changed True
trim_pot: 367 ,pot_adjust: 367 ,last_read: 0 ,Percentage:36% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 367 ,last_read: 367 ,Percentage:0% ,trim_pot_changed True
trim_pot: 406 ,pot_adjust: 406 ,last_read: 0 ,Percentage:40% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 406 ,last_read: 406 ,Percentage:0% ,trim_pot_changed True
trim_pot: 339 ,pot_adjust: 339 ,last_read: 0 ,Percentage:33% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 339 ,last_read: 339 ,Percentage:0% ,trim_pot_changed True
trim_pot: 382 ,pot_adjust: 382 ,last_read: 0 ,Percentage:37% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 382 ,last_read: 382 ,Percentage:0% ,trim_pot_changed True
trim_pot: 378 ,pot_adjust: 378 ,last_read: 0 ,Percentage:37% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 378 ,last_read: 378 ,Percentage:0% ,trim_pot_changed True
trim_pot: 379 ,pot_adjust: 379 ,last_read: 0 ,Percentage:37% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 379 ,last_read: 379 ,Percentage:0% ,trim_pot_changed True
trim_pot: 353 ,pot_adjust: 353 ,last_read: 0 ,Percentage:34% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 353 ,last_read: 353 ,Percentage:0% ,trim_pot_changed True
trim_pot: 315 ,pot_adjust: 315 ,last_read: 0 ,Percentage:31% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 315 ,last_read: 315 ,Percentage:0% ,trim_pot_changed True
trim_pot: 285 ,pot_adjust: 285 ,last_read: 0 ,Percentage:28% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 285 ,last_read: 285 ,Percentage:0% ,trim_pot_changed True
trim_pot: 301 ,pot_adjust: 301 ,last_read: 0 ,Percentage:29% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 301 ,last_read: 301 ,Percentage:0% ,trim_pot_changed True
