1463674590.66 , serbatoio , 71.7589923225 , al_fondi , 36.7481381958 , al_generico , 5.70504798464 , al_calcif , 0.0 , premacinato , 5.69505758157 , tazza1 , 70.5015163148 , tazza2 , 41.0408733205 , vapore , 0.0 
1463674590.66 , serbatoio , 71.7561073826 , al_fondi , 36.7129050815 , al_generico , 5.7087535954 , al_calcif , 0.0 , premacinato , 5.69877277085 , tazza1 , 70.4986193672 , tazza2 , 41.073240652 , vapore , 0.0 
1463674590.67 , serbatoio , 71.7532279693 , al_fondi , 36.6777394636 , al_generico , 5.708151341 , al_calcif , 0.0 , premacinato , 5.69798850575 , tazza1 , 70.5016187739 , tazza2 , 41.105545977 , vapore , 0.0 
1463674590.67 , serbatoio , 71.7562392344 , al_fondi , 36.7131961722 , al_generico , 5.70764593301 , al_calcif , 0.0 , premacinato , 5.69730143541 , tazza1 , 70.5045263158 , tazza2 , 41.1377894737 , vapore , 0.0 
1463674590.68 , serbatoio , 71.7534608031 , al_fondi , 36.6780975143 , al_generico , 5.71133843212 , al_calcif , 0.0 , premacinato , 5.70072657744 , tazza1 , 70.5018260038 , tazza2 , 41.1077055449 , vapore , 0.0 
1463674590.68 , serbatoio , 71.7505921681 , al_fondi , 36.6430659026 , al_generico , 5.71502387775 , al_calcif , 0.0 , premacinato , 5.70013371538 , tazza1 , 70.5048137536 , tazza2 , 41.1398853868 , vapore , 0.0 
1463674590.69 , serbatoio , 71.7535973282 , al_fondi , 36.6784541985 , al_generico , 5.71441793893 , al_calcif , 0.0 , premacinato , 5.69944656489 , tazza1 , 70.5077099237 , tazza2 , 41.1718225191 , vapore , 0.0 
1463674590.69 , serbatoio , 71.7507340324 , al_fondi , 36.6434890372 , al_generico , 5.71799809342 , al_calcif , 0.0 , premacinato , 5.70313632031 , tazza1 , 70.5049189704 , tazza2 , 41.141792183 , vapore , 0.0 
1463674590.7 , serbatoio , 71.7478761905 , al_fondi , 36.6085904762 , al_generico , 5.72176190476 , al_calcif , 0.0 , premacinato , 5.70244761905 , tazza1 , 70.5078952381 , tazza2 , 41.1739428571 , vapore , 0.0 
1463674590.7 , serbatoio , 71.7508753568 , al_fondi , 36.6439105614 , al_generico , 5.72115128449 , al_calcif , 0.0 , premacinato , 5.70195052331 , tazza1 , 70.5108658421 , tazza2 , 41.2059372027 , vapore , 0.0 
