1463675516.19 , serbatoio , 71.73 , al_fondi , 36.87 , al_generico , 5.19 , al_calcif , 0.0 , premacinato , 5.15 , tazza1 , 70.63 , tazza2 , 42.16 , vapore , 0.0 
1463675516.19 , serbatoio , 71.75 , al_fondi , 37.06 , al_generico , 5.18 , al_calcif , 0.0 , premacinato , 5.14 , tazza1 , 70.65 , tazza2 , 42.32 , vapore , 0.0 
1463675516.19 , serbatoio , 71.76 , al_fondi , 37.25 , al_generico , 5.17 , al_calcif , 0.0 , premacinato , 5.15 , tazza1 , 70.63 , tazza2 , 42.15 , vapore , 0.0 
1463675516.2 , serbatoio , 71.75 , al_fondi , 37.06 , al_generico , 5.18 , al_calcif , 0.0 , premacinato , 5.16 , tazza1 , 70.61 , tazza2 , 41.97 , vapore , 0.0 
1463675516.2 , serbatoio , 71.77 , al_fondi , 37.25 , al_generico , 5.17 , al_calcif , 0.0 , premacinato , 5.15 , tazza1 , 70.63 , tazza2 , 42.14 , vapore , 0.0 
1463675516.2 , serbatoio , 71.75 , al_fondi , 37.06 , al_generico , 5.18 , al_calcif , 0.0 , premacinato , 5.16 , tazza1 , 70.61 , tazza2 , 41.96 , vapore , 0.0 
1463675516.2 , serbatoio , 71.77 , al_fondi , 37.24 , al_generico , 5.16 , al_calcif , 0.0 , premacinato , 5.15 , tazza1 , 70.63 , tazza2 , 42.13 , vapore , 0.0 
1463675516.2 , serbatoio , 71.78 , al_fondi , 37.06 , al_generico , 5.18 , al_calcif , 0.0 , premacinato , 5.16 , tazza1 , 70.61 , tazza2 , 41.95 , vapore , 0.0 
1463675516.2 , serbatoio , 71.77 , al_fondi , 36.88 , al_generico , 5.19 , al_calcif , 0.0 , premacinato , 5.15 , tazza1 , 70.63 , tazza2 , 42.11 , vapore , 0.0 
1463675516.21 , serbatoio , 71.78 , al_fondi , 37.06 , al_generico , 5.18 , al_calcif , 0.0 , premacinato , 5.13 , tazza1 , 70.64 , tazza2 , 42.28 , vapore , 0.0 
1463675516.21 , serbatoio , 71.77 , al_fondi , 36.88 , al_generico , 5.19 , al_calcif , 0.0 , premacinato , 5.15 , tazza1 , 70.63 , tazza2 , 42.1 , vapore , 0.0 
1463675516.21 , serbatoio , 71.78 , al_fondi , 37.05 , al_generico , 5.18 , al_calcif , 0.0 , premacinato , 5.13 , tazza1 , 70.64 , tazza2 , 42.26 , vapore , 0.0 
1463675516.21 , serbatoio , 71.77 , al_fondi , 36.87 , al_generico , 5.18 , al_calcif , 0.0 , premacinato , 5.14 , tazza1 , 70.63 , tazza2 , 42.1 , vapore , 0.0 
1463675516.21 , serbatoio , 71.75 , al_fondi , 37.05 , al_generico , 5.17 , al_calcif , 0.0 , premacinato , 5.13 , tazza1 , 70.64 , tazza2 , 42.25 , vapore , 0.0 
1463675516.21 , serbatoio , 71.77 , al_fondi , 37.23 , al_generico , 5.16 , al_calcif , 0.0 , premacinato , 5.12 , tazza1 , 70.63 , tazza2 , 42.08 , vapore , 0.0 
1463675516.22 , serbatoio , 71.76 , al_fondi , 37.05 , al_generico , 5.17 , al_calcif , 0.0 , premacinato , 5.13 , tazza1 , 70.61 , tazza2 , 41.92 , vapore , 0.0 
1463675516.22 , serbatoio , 71.77 , al_fondi , 37.23 , al_generico , 5.16 , al_calcif , 0.0 , premacinato , 5.12 , tazza1 , 70.62 , tazza2 , 42.07 , vapore , 0.0 
1463675516.22 , serbatoio , 71.76 , al_fondi , 37.05 , al_generico , 5.17 , al_calcif , 0.0 , premacinato , 5.13 , tazza1 , 70.61 , tazza2 , 41.91 , vapore , 0.0 
1463675516.22 , serbatoio , 71.77 , al_fondi , 37.22 , al_generico , 5.16 , al_calcif , 0.0 , premacinato , 5.12 , tazza1 , 70.62 , tazza2 , 42.06 , vapore , 0.0 
1463675516.22 , serbatoio , 71.78 , al_fondi , 37.39 , al_generico , 5.17 , al_calcif , 0.0 , premacinato , 5.13 , tazza1 , 70.61 , tazza2 , 41.9 , vapore , 0.0 
1463675516.22 , serbatoio , 71.77 , al_fondi , 37.22 , al_generico , 5.18 , al_calcif , 0.0 , premacinato , 5.14 , tazza1 , 70.59 , tazza2 , 42.05 , vapore , 0.0 
